2000	-1.198	-1.242	-1.134	-.521	.161	-.129	-.201	-.146	-.249	-.382	-.755	-.581
2001	-.54	-.713	-.603	-.145	.188	-.056	.253	.357	-.131	-.276	-.181	.003
2002	-.05	-.208	-.196	.339	.78	.864	.596	.912	.803	.951	1.057	1.109
2003	1.184	.927	.819	.308	.05	.033	.089	.236	.44	.508	.518	.314
2004	.308	.329	-.123	.216	.472	.19	.472	.672	.522	.464	.785	.643
2005	.301	.799	1.018	.559	.758	.499	.492	.307	.251	-.168	-.409	-.586
2006	-.472	-.45	-.588	-.687	-.034	.564	.628	.749	.787	.89	1.289	.95
2007	.973	.515	.076	-.049	.187	-.331	-.29	-.46	-1.169	-1.144	-1.179	-1.168
2008	-1.012	-1.398	-1.631	-.942	-.353	.136	.003	-.286	-.653	-.783	-.625	-.667
2009	-.753	-.715	-.713	-.159	.37	.943	.938	.934	.762	1.018	1.061	1.007
2010	1.152	1.52	1.39	.863	.577	-.433	-1.166	-1.849	-2.037	-1.948	-1.606	-1.58
2011	-1.678	-1.56	-1.559	-1.492	-.322	-.169	-.087	-.503	-.772	-.968	-.98	-.979
2012	-1.046	-.702	-.41	.059	.706	.903	1.139	NaN	NaN	NaN	NaN	NaN
